no,category,addr1,addr2,addr3,name,menu,x_code,y_code,food_category1,food_category2,
568,맛녀석,대전,유성구,대전 유성구 온천로 63,청주해장국 유성본점,해장국,127.3449425,36.35539008, 한식 , 해장국,
569,맛녀석,대전,유성구,대전 유성구 노은로410번길 8,오시오칼국수,칼국수,127.3288111,36.39055608, 한식 , 국수,
570,맛녀석,서울,마포구,서울 마포구 와우산로 39-14,온블랙94,대왕 스테이크,126.9223841,37.54827792, 양식 ," 스테이크,립",
571,맛녀석,서울,양천구,서울 양천구 목동서로 213,먹자대게,킹크랩,126.8706179,37.52801772, 한식 ," 해물,생선 ",
572,맛녀석,서울,중구,서울 중구 남대문시장길 22-10,희락갈치,갈치조림,126.9770969,37.5598484, 한식 ," 해물,생선",
573,맛녀석,서울,중구,서울 중구 을지로20길 36,성원식품,LA갈비,126.9953819,37.56485286, 한식,-,
574,맛녀석,경기,김포시,경기 김포시 양촌읍 김포한강4로 317,갈비본질프리미엄,돼지생갈비,126.6480307,37.65079406, 한식 ," 육류,고기 ",
575,맛녀석,경기,용인시,경기 용인시 기흥구 신정로 270-4,만수정,장어구이,127.0991448,37.29185371, 한식 ," 해물,생선 ",
576,맛녀석,서울,마포구,서울 강동구 천호대로158길 11,소문난쭈꾸미,주꾸미샤부샤부,127.1264921,37.53699481, 한식 ," 해물,생선",
577,맛녀석,서울,강남구,서울 강남구 테헤란로70길 12,명정루 선릉본점,중국요리,127.05316,37.50474424, 중식 , 중국요리,
578,맛녀석,서울,강남구,서울 강남구 압구정로46길 5-10,압구정진주,삼겹살,127.0374964,37.52792045, 한식 ," 육류,고기",
579,맛녀석,경기,하남시,경기 하남시 신장로 37,동경주산채집,산채비빔밥,127.2128417,37.53437859, 한식,-,
580,맛녀석,서울,중구,서울 중구 을지로3길 30-14,충무집,도다리쑥국,126.9820207,37.56737798, 한식 ," 해물,생선",
581,맛녀석,서울,종로구,서울 종로구 우정국로 38-13,이문설렁탕,설렁탕,126.9839076,37.57273376, 한식 , 설렁탕,
582,맛녀석,경기,고양시,서울 영등포구 대림로22길 44-1,모녀반찬,도시락,126.9051207,37.49591076, 식품판매 , 반찬가게,
583,맛녀석,경기,이천시,경기 이천시 중리천로72번길 23,보림숯불갈비,한우등심,127.4453144,37.27783399, 한식 ," 육류,고기 ",
584,맛녀석,서울,중구,서울 중구 을지로3길 29,오는정,쪽갈비,126.9813868,37.56730219, 한식 ," 육류,고기 ",
