카테고리,지역1,지역2,상호명,메뉴
맛녀석,전남,강진군,남문식당,남도한정식
맛녀석,경기,안성시,보리네생고깃간,육우
맛녀석,서울,노원구,소문난멸치국수,잔치국수
맛녀석,서울,은평구,원조양평해장국 직영점,양평해장국
맛녀석,서울,중구,뿌자,인도 커리
맛녀석,서울,용산구,코레아노스,멕시코 타코
맛녀석,서울,종로구,조선김밥,김밥(전국팔도김밥)
맛녀석,서울,관악구,진순자김밥 봉천본점,김밥(전국팔도김밥)
맛녀석,강원,속초시,최대섭대박김밥 속초본점,김밥(전국팔도김밥)
맛녀석,전북,전주시,오선모옛날김밥,김밥(전국팔도김밥)
맛녀석,경북,경주시,교리김밥 본점,김밥(전국팔도김밥)
맛녀석,부산,영도구,영도해녀촌,김밥(전국팔도김밥)
맛녀석,제주특별자치도,서귀포시,오는정김밥,김밥(전국팔도김밥)
맛녀석,제주특별자치도,서귀포시,우정회센터 2호점,김밥(전국팔도김밥)
맛녀석,서울,강서구,장하촌,짜장면(당구장 먹방)
맛녀석,서울,은평구,항아리홍어,민어
맛녀석,서울,서초구,박달재자연식당,흑염소
맛녀석,서울,마포구,만복기사식당,김치찌개&고추장불고기
맛녀석,강원,춘천시,명가막국수,막국수&감자전
맛녀석,서울,강남구,개화옥,김치말이국수
맛녀석,서울,서초구,텍사스데브라질,슈하스코
맛녀석,서울,서대문구,한옥집,김치찌개
맛녀석,서울,종로구,우정낙지,낙지볶음
맛녀석,서울,서초구,팔팔민물장어,장어구이
맛녀석,강원,춘천시,샘밭막국수,막국수
맛녀석,강원,춘천시,원조숯불닭불고기집,숯불닭갈비
맛녀석,대전,중구,진로집,두부두루치기
맛녀석,강원,속초시,사돈집,물곰탕
맛녀석,경남,김해시,대동할매국수,구포국수
맛녀석,경남,김해시,김정식의삼일뒷고기,뒷고기
맛녀석,부산,해운대구,해운대속씨원한대구탕 해운대점,대구탕
맛녀석,서울,서대문구,시오 연희본점,일본가정식
맛녀석,서울,중구,샤이바나 광화문점,미국가정식
맛녀석,강원,인제군,백담황태구이,황태구이 정식
맛녀석,강원,인제군,자작나무집,잡어매운탕
맛녀석,서울,종로구,메이탄 종로점,양장피
맛녀석,서울,송파구,미타우동,우동
맛녀석,서울,종로구,도마 인사점,흑돼지 샤브샤브
맛녀석,서울,금천구,텐마루 가산점,창코나베
맛녀석,서울,서대문구,라화쿵부 신촌점,마라샹궈
맛녀석,서울,서초구,소백산 양재별관,소갈비탕
맛녀석,서울,광진구,황소곱창 건대본점,소곱창
맛녀석,경기,김포시,박승광 최강해물손칼국수 본점,해물손칼국수
맛녀석,경기,김포시,큰손참붕어찜,붕어찜
맛녀석,서울,서초구,봉산옥 서초동본점,만두국
맛녀석,서울,용산구,가람떡갈비,떡갈비
맛녀석,서울,마포구,어메이징타일랜드,태국 음식
맛녀석,경기,성남시,찌마기 본점,조개찜
맛녀석,서울,강남구,서경도락 논현본점,직화소불고기
맛녀석,서울,강남구,사람사는고깃집 김일도 신논현점,숙성돼지고기
맛녀석,서울,영등포구,하롱베이의하루 여의도본점,쌀국수
맛녀석,서울,마포구,철길왕갈비살,양념 소갈비살
맛녀석,서울,마포구,한강껍데기,돼지껍데기
맛녀석,서울,강남구,김북순큰남비집 신사본점,김치찌개
맛녀석,인천,남동구,부암갈비,생돼지갈비
맛녀석,경기,고양시,별미진미,게장
맛녀석,서울,중구,신당동 마복림떡볶이집,즉석떡볶이
맛녀석,서울,동대문구,나정순할매쭈꾸미,주꾸미볶음
맛녀석,서울,송파구,주은감자탕,감자탕
맛녀석,서울,광진구,고향양꼬치,양고기
맛녀석,서울,강남구,시추안하우스 삼성점,사천요리
맛녀석,서울,은평구,속초생선찜 연신내점,속초식 생선찜
맛녀석,서울,종로구,전주식당,생선구이
맛녀석,서울,송파구,도토리편백집 문정법조단지점,편백찜
맛녀석,서울,강남구,자연석돌구이,대패삼겹살
맛녀석,서울,중구,원조남산왕돈까스,왕돈가스
맛녀석,제주특별자치도,서귀포시,춘심이네 본점,갈치구이
맛녀석,경기,김포시,봉구네고기집 김포본점,소돼지 직화구이
맛녀석,경남,통영시,뚱보할매김밥집,충무김밥
맛녀석,경남,통영시,울산다찌,다찌
맛녀석,서울,노원구,채선당 수락산점,삼계 샤브샤브
맛녀석,경기,시흥시,왕대통수라찜,대통찜
맛녀석,서울,용산구,트로이카,러시아 음식
맛녀석,경기,남양주시,팔당초계국수 본점,초계국수
맛녀석,경기,하남시,털보네바베큐 미사동본점,장어참나무직화구이
맛녀석,서울,강남구,봉족발,이색 족발
맛녀석,서울,강남구,아카라,로바다야끼
맛녀석,서울,용산구,꾸띠자르당,프랑스 요리
맛녀석,경기,평택시,사보르페루아노,페루 요리
맛녀석,경기,평택시,라카사,멕시코 요리
맛녀석,서울,강남구,진대감 선릉점,차돌삼합
맛녀석,서울,영등포구,삼거리먼지막순대국,순대국
맛녀석,서울,중구,두툼,목살
맛녀석,서울,종로구,와글와글족발,족발
맛녀석,서울,강남구,정돈프리미엄,안심
맛녀석,서울,마포구,용마루굴다리껍데기,꼬리구이
맛녀석,서울,종로구,이문설농탕,설렁탕
맛녀석,서울,중구,용금옥,추탕
맛녀석,경기,수원시,박군자진주냉면 수원본점,진주냉면
맛녀석,서울,동대문구,은하곱창,돼지곱창전골
맛녀석,경기,고양시,윤선희평양냉면양각도,어복쟁반
맛녀석,서울,강남구,피양콩할마니 본점,비지찌개
맛녀석,서울,노원구,용순가재골수제비,수제비
맛녀석,서울,종로구,삼각산머루집,도토리묵
맛녀석,경기,광주시,애마오리 본점,오리로스
맛녀석,서울,강남구,차호랑,홍합밥정식
맛녀석,경기,수원시,골목집,묵은지찜
맛녀석,서울,강북구,제일분식,떡볶이&분식
맛녀석,경기,동두천시,핫피자앤버거,피자
맛녀석,서울,용산구,야고만두 이태원점,만두
맛녀석,경기,남양주시,동동국수집,육개장칼국수
맛녀석,서울,동대문구,늘봄해물찜손칼국수 답십리본점,해물찜
맛녀석,충남,논산시,강경해물칼국수,해물칼국수
맛녀석,충남,홍성군,내당한우,한우
맛녀석,인천,연수구,피에프창 송도트리플스트리트점,미국식 중국요리
맛녀석,경기,이천시,류재열의 명품코다리찜 송정점,참게탕
맛녀석,서울,강남구,홈수끼 학동점,샤브샤브 코스요리
맛녀석,경기,파주시,오두산막국수 본점,빈대떡
맛녀석,경기,의정부시,허기숙할머니 원조오뎅식당 의정부본점,부대찌개
맛녀석,경기,화성시,생아구한마리,아귀회
맛녀석,경기,화성시,해장촌,해장국
맛녀석,경기,안성시,마로니에,경양식
맛녀석,경남,고성군,수양식당,회백반정식
맛녀석,경남,통영시,통영다찌,통영밥상
맛녀석,서울,종로구,원조원할매소문난닭한마리,닭한마리
맛녀석,서울,관악구,또순이순대 본점,백순대볶음
맛녀석,서울,서초구,시골야채된장전문점,된장찌개
맛녀석,서울,용산구,24시뼈다귀감자탕,뼈찜
맛녀석,경기,안산시,삼수갑산,쌈밥
맛녀석,서울,광진구,사대분식,덮밥
맛녀석,서울,송파구,풍납닭내장탕,닭내장탕
맛녀석,서울,강남구,송쉐프,유린기&깐풍기
맛녀석,서울,강남구,꼬끄더그릴,닭 목살구이
맛녀석,서울,은평구,빅토리아,등갈비김치찜
맛녀석,서울,마포구,달짜국수,동치미국수
맛녀석,전북,전주시,고궁 전주본점,전주비빔밥
맛녀석,광주,광산구,화정떡갈비,광주떡갈비
맛녀석,광주,북구,영미오리탕,오리탕
맛녀석,서울,용산구,더백푸드트럭,미국식버거
맛녀석,서울,강남구,볼트스테이크하우스,미국식스테이크
맛녀석,충남,천안시,청화집,병천순대
맛녀석,경기,수원시,본수원갈비 수원점,수원왕갈비
맛녀석,경기,고양시,옥합,콩국수
맛녀석,서울,강동구,강동해물찜해천탕,해천탕
맛녀석,강원,춘천시,춘천통나무집닭갈비,닭갈비
맛녀석,경기,포천시,갈비1987,이동갈비
맛녀석,경기,부천시,정글애갑오징어,갑오징어볶음
맛녀석,서울,강서구,원조수구레,수구레볶음
맛녀석,경기,광주시,초월보리밥 수양점,보리밥
맛녀석,서울,마포구,도꼭지,무쇠솥밥
맛녀석,강원,홍천군,양지말화로구이,고추장삼겹살
맛녀석,강원,양양군,양양터미널기사님식당,기사식당
맛녀석,전남,목포시,하당먹거리,낙지탕탕이
맛녀석,전남,목포시,미락,병어찜
맛녀석,경남,하동군,동흥재첩국,재첩
맛녀석,경남,하동군,설송,은어
맛녀석,서울,양천구,더아리엘 목동점,뷔페
맛녀석,서울,종로구,진성옛날소머리국밥,소머리국밥&수육
맛녀석,서울,영등포구,길풍식당,소꼬리탕&꼬리찜
맛녀석,서울,중구,송죽,죽
맛녀석,서울,강남구,옛향기가득한 동인동 신사본점,매운소갈비찜
맛녀석,서울,강남구,일일향 1호점,중식
맛녀석,대전,유성구,원조태평소국밥,소국밥
맛녀석,대전,동구,오씨칼국수,칼국수
맛녀석,서울,중구,유가,중국요리
맛녀석,서울,중구,중림장,설렁탕
맛녀석,강원,강릉시,동화가든,초당순두부
맛녀석,강원,강릉시,현대장칼국수,장칼국수
맛녀석,충남,태안군,대한회센터,대하
맛녀석,충남,태안군,원조뚝배기식당,게국지
맛녀석,서울,송파구,주은감자탕,감자탕
맛녀석,서울,광진구,고기대통령 본점,고기뷔페
맛녀석,경남,남해군,우리식당,멸치쌈밥
맛녀석,경남,남해군,완벽한인생브루어리,독일음식
맛녀석,강원,철원군,내대막국수,막국수
맛녀석,강원,철원군,솔향기,손만두전골
맛녀석,서울,용산구,시장회집,알탕&알찜
맛녀석,서울,중구,속초생태집,도루묵
맛녀석,강원,고성군,동해반점 3호점,중화요리
맛녀석,강원,양양군,광주빛고을식당,물곰탕
맛녀석,충북,옥천군,생선국수찐한식당,생선국수&도리뱅뱅이
맛녀석,충남,천안시,태조석갈비,석갈비
맛녀석,서울,성동구,미정이네식당 2호점,코다리찜
맛녀석,경기,안양시,굴따세,굴요리
맛녀석,경기,광명시,듀드팡,털레기수제비
맛녀석,서울,마포구,주막,보리밥
맛녀석,서울,마포구,오성닭한마리,닭한마리
맛녀석,서울,강남구,해몽,등갈비
맛녀석,서울,성동구,다로베 서울숲점,이태리 요리
맛녀석,서울,강남구,봉산집,차돌박이
맛녀석,서울,종로구,청진옥 본점,해장국
맛녀석,서울,용산구,잠수교집 2호점,냉동삼겹살
맛녀석,전북,군산시,새만금횟집,박대 요리
맛녀석,전북,군산시,빈해원,중국 요리
맛녀석,서울,강남구,진미평양냉면,평양냉면X불고기
맛녀석,서울,강남구,남도음식토말 본점,남도음식
맛녀석,서울,동작구,다래식당,주물럭청국장
맛녀석,서울,서초구,락희옥 서초교대역점,한식요리
맛녀석,서울,서초구,반포치킨,치킨
맛녀석,인천,중구,잉글랜드왕돈까스,돈가스
맛녀석,서울,마포구,평이담백뼈칼국수,뼈칼국수
맛녀석,서울,중구,부산복집,복불고기
맛녀석,서울,마포구,연남서식당,서서 먹는 갈비
맛녀석,서울,강서구,신촌기사식당,불꽃백반
맛녀석,서울,중구,사랑방칼국수,백숙백반
맛녀석,경기,남양주시,천마산곰탕,곰탕
맛녀석,서울,강동구,초롱이고모부대찌개,부대찌개
맛녀석,경기,여주시,보배네집,콩국수X만두
맛녀석,경기,성남시,그래니살룬,미트볼
맛녀석,경기,성남시,돈사랑,묵은지김치찌개
맛녀석,서울,용산구,문오리,오리전골
맛녀석,서울,마포구,청어람 본점,곱창전골
맛녀석,서울,종로구,자하손만두,만두전골
맛녀석,서울,강남구,마담밍 선릉점,냉짬뽕
맛녀석,경기,고양시,오향선 신관,냉채족발
맛녀석,서울,마포구,발리인망원,인도네시아 음식
맛녀석,서울,종로구,라스위스,스위스 음식
맛녀석,서울,강남구,팀호완 삼성점,차슈바오 번
맛녀석,서울,종로구,따빠마드레,홍콩 음식
맛녀석,경기,고양시,능곡할머니북어탕 본1호점,북어탕
맛녀석,경기,파주시,대장군집,부속구이
맛녀석,경기,수원시,오리대가,오리진흙구이
맛녀석,서울,강남구,뱃고동,오징어요리
맛녀석,경기,안산시,사마르칸트,우즈베키스탄 음식
맛녀석,경기,안산시,솔티인도네팔음식점,네팔 음식
맛녀석,서울,종로구,할매집,뼈해장국
맛녀석,서울,관악구,논밭골 봉천점,갈비탕
맛녀석,서울,용산구,양인환대 신용산점,양갈비
맛녀석,전남,해남군,바다동산,삼치 코스요리
맛녀석,전남,해남군,진솔통닭,닭 코스요리
맛녀석,전남,영암군,독천식당,갈낙탕
맛녀석,전남,영암군,양지가든,짱뚱어탕
맛녀석,서울,종로구,서촌통영,굴국밥
맛녀석,경기,고양시,원당쇠고기국밥,소고기국밥
맛녀석,경북,상주시,고려분식,분식
맛녀석,대전,유성구,산밑할머니,묵밥
맛녀석,강원,속초시,속초동명항게찜,대게찜
맛녀석,부산,해운대구,한량,꼬치구이
맛녀석,제주,서귀포시,한라국수,고기국수
맛녀석,서울,강남구,서울 설로인,한우 오마카세
맛녀석,서울,서대문구,홍리마라탕,마라국수
맛녀석,서울,강서구,원조동글갈비,돼지갈비
맛녀석,서울,중구,새봄떡국국수,떡국
맛녀석,경기,의왕시,임학순전통웰빙파김치강화갯벌장어민물장어,파김치장어전골
맛녀석,서울,종로구,오레노라멘 인사점,라멘
맛녀석,서울,중구,원조남원닭발,닭발
맛녀석,전북,군산시,한일옥,소고기뭇국
맛녀석,인천,중구,신성루,중국요리
맛녀석,강원,홍천군,팜파스휴게소,휴게소 음식
맛녀석,서울,종로구,홍천막장시래기국밥,시래깃국
맛녀석,서울,중구,서울 을지분식,즉석떡볶이
맛녀석,인천,미추홀구,석바위토스트,토스트
맛녀석,경기,여주시,두메촌,여주쌀밥
맛녀석,경기,양평군,용문원조 능이버섯국밥,버섯전골
맛녀석,서울,마포구,옥동식,돼지곰탕
맛녀석,경북,상주시,명실상감한우 홍보테마타운점,한우탕
맛녀석,서울,마포구,리치몬드과자점 성산본점,빵(슈크림빵 밤식빵) 
맛녀석,서울,성북구,나폴레옹제과점 본점,빵 (샐러드빵 크림빵 생크림빵)
맛녀석,경기,파주시,류재은베이커리 본점,빵(마늘빵 파네토네)
맛녀석,강원,춘천시,대원당,빵(생크림슈 구로맘모스빵)
맛녀석,대전,중구,성심당,빵(튀김소보로 판타롱부추빵)
맛녀석,광주,동구,궁전제과 충장본점,빵(공룡알빵 나비파이)
맛녀석,전남,목포시,씨엘비베이커리 명륜동본점,빵(크림치즈바게트 새우바게트)
맛녀석,부산,중구,비엔씨 광복본점,빵(샐러드빵 파이만주) 
맛녀석,경북,안동시,맘모스베이커리,빵(크림치즈빵 유자파운드빵)
맛녀석,전북,군산시,이성당,빵(단팥빵 채소빵)
맛녀석,서울,마포구,오복가정식,가정식백반
맛녀석,서울,강남구,청담골,가정식백반
맛녀석,서울,용산구,해피홈레스토랑,나이지리아 요리
맛녀석,충남,당진시,서유기짬뽕,짜장면(쟁반짜장) 
맛녀석,서울,종로구,금문,짜장면(삼선간짜장)
맛녀석,강원,원주시,미소손짜장,짜장면(수타짜장) 
맛녀석,대구,중구,천안성,짜장면(유니짜장)
맛녀석,제주특별자치도,제주시,천금반점,짬뽕(해물짬뽕) 
맛녀석,서울,성북구,공푸,짬뽕(차돌짬뽕)
맛녀석,경기,의왕시,황제짬뽕,짬뽕(얼큰짬뽕) 
맛녀석,전북,익산시,소룡각,짬뽕(해장짬뽕)
맛녀석,강원,속초시,진양횟집,속초 특집(물회 오징어순대)
맛녀석,강원,속초시,속초대게나라홍게마을,속초 특집(킹크랩)
맛녀석,경기,양평군,옥천냉면황해식당,물냉면
맛녀석,대전,유성구,숯골원냉면 본점,물냉면
맛녀석,대구,중구,부산안면옥,물냉면
맛녀석,인천,미추홀구,백령면옥,물냉면
맛녀석,서울,송파구,해주냉면,비빔냉면
맛녀석,강원,고성군,40년전통오미냉면,비빔냉면
맛녀석,전남,목포시,소래기,비빔냉면
맛녀석,충남,아산시,종가면옥,비빔냉면
맛녀석,경기,수원시,이라면,라면
맛녀석,경기,의정부시,빨간세상라면학교,라면
맛녀석,서울,종로구,라면점빵,라면
맛녀석,경기,용인시,일호점미역,미역국
맛녀석,서울,강남구,평방옥,전지적 먹방 시점1(설렁탕)
맛녀석,서울,중구,32파르페,전지적 먹방 시점1(소프트아이스크림)
맛녀석,서울,강남구,무공돈까스,전지적 먹방 시점2(돈까스)
맛녀석,서울,마포구,망원시장,전지적 먹방 시점2(길거리음식)
맛녀석,서울,마포구,스타일난다 핑크풀카페 홍대점,전지적 먹방 시점2(케이크)
맛녀석,강원,속초시,속초우리왕만두,만두
맛녀석,강원,속초시,속초에살다,디저트
맛녀석,경기,고양시,참마루한식보리밥부페,한식뷔페
맛녀석,서울,강서구,삼정집,한우케이크
맛녀석,전남,구례군,당치민박산장,삼시몇끼 구례편(산닭구이)
맛녀석,전남,여수시,청정게장촌,택배맛집(여수 갈치조림)
맛녀석,제주,제주시,김희선제주몸국,택배맛집(제주 몸국)
맛녀석,강원,춘천시,카페감자밭 본점,택배맛집(감자빵)
맛녀석,경남,의령군,남산떡방앗간,택배맛집(망개떡)
맛녀석,경기,파주시,단골집,택배맛집(돼지갈비)
맛녀석,전남,장흥군,한사랑한우식당,택배맛집(한우삼합)
맛녀석,부산,중구,깡통골목할매 유부전골 본점,택배맛집(유부전골)
맛녀석,부산,서구,원조18번완당,택배맛집(완당)
맛녀석,강원,동해시,오부자냄비물회,택배맛집(물회)
맛녀석,전남,순천시,화월당,택배맛집(볼카스테라)
맛녀석,서울,중구,은주정,택배맛집(김찌찌개&쫄면)
맛녀석,경기,성남시,사랑이네 연탄불생선구이,택배맛집(생선구이)
맛녀석,서울,용산구,쟈니덤플링,택배맛집(군만두&물만두)
맛녀석,서울,동작구,시간을 들이다,택배맛집(크루아상)
맛녀석,인천,남동구,정자담,택배맛집(꽃문어해신탕)
맛녀석,서울,마포구,경기떡집,택배맛집(이북식인절미)
맛녀석,경기,용인시,터알,택배맛집(찜닭)
맛녀석,서울,강남구,호원당,택배맛집(두텁떡)
맛녀석,서울,종로구,찬양집,시청자추천칼국수맛집(해물칼국수)
맛녀석,경기,시흥시,서운칼국수,시청자추천칼국수맛집(멸치칼국수)
맛녀석,경기,파주시,언칼국수,시청자추천칼국수맛집(얼큰칼국수)
맛녀석,대구,수성구,조조칼국수,시청자추천칼국수맛집(동죽칼국수)
